Endpoint,group,country,vs_type,N,R,HR,LCL,UCL
Thrombocytopenia - ITP - General,itp_gen,Scotland,PB_v1_14:20,34,0,4.880431251194543e-8,0,Inf
Thrombocytopenia - ITP - General,itp_gen,Scotland,PB_v1_21:27,45,2,0.34929936566602104,0.053396327070360565,2.2849895030029233
Thrombocytopenia - ITP - General,itp_gen,Scotland,PB_v1_28+,250,21,0.7951444707460168,0.4098566507980583,1.54262405679366
Thrombocytopenia - ITP - General,itp_gen,Scotland,PB_v2,89,5,0.39624124900503854,0.13378640849188847,1.1735656049290866
Thrombocytopenia - ITP - General,itp_gen,Scotland,AZ_v1_0:27,414,46,1.424866537686568,0.8558197912623113,2.3722805559618467
Thrombocytopenia - ITP - General,itp_gen,Scotland,PB_v1_0:27,173,13,0.6740804780333005,0.31824917616509235,1.427763290202172
ITP - Specific,itp,Scotland,uv,687,58,1,1,1
ITP - Specific,itp,Scotland,AZ_v1_0:6,34,5,3.1591870274821243,0.8302536309478502,12.020980460172453
ITP - Specific,itp,Scotland,AZ_v1_7:13,56,7,6.3655327189566036,1.7223809469152715,23.525577700262577
ITP - Specific,itp,Scotland,AZ_v1_14:20,35,7,15.057415768655162,3.3496787658022193,67.6858246661889
ITP - Specific,itp,Scotland,AZ_v1_21:27,25,4,9.162519222631213,1.7283325946093384,48.57384439021264
ITP - Specific,itp,Scotland,AZ_v1_28+,49,4,1.2748683714282536,0.2411766872791169,6.738998627123355
ITP - Specific,itp,Scotland,PB_v1_0:6,5,0,4.6181701194144485e-9,0,Inf
ITP - Specific,itp,Scotland,PB_v1_7:13,17,1,0.6213306075293025,0.04156418450499935,9.288086087826354
ITP - Specific,itp,Scotland,PB_v1_14:20,17,0,6.525481535066221e-9,0,Inf
ITP - Specific,itp,Scotland,PB_v1_21:27,11,1,2.396516096171327,0.2572226989038805,22.32808155610878
ITP - Specific,itp,Scotland,PB_v1_28+,53,5,1.2979222477048338,0.32659820095579895,5.158026456230107
ITP - Specific,itp,Scotland,PB_v2,15,0,1.6393343537018148e-8,0,Inf
ITP - Specific,itp,Scotland,AZ_v1_0:27,150,23,6.0272855484341425,2.351624896871856,15.448114676233862
ITP - Specific,itp,Scotland,PB_v1_0:27,50,2,0.42635691763994416,0.07621929489487522,2.38496330187983
